Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 22:00 2019
time =                  525ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  530ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  535ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  540ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  545ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  550ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  555ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  560ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  565ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  570ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  575ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  580ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  585ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  590ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  595ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  600ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  605ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  610ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  615ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  620ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  625ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  630ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  635ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  640ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  645ns clk = 1 n_rst = 0 up_dwn = 1 count1=0 count2=  0 
 
time =                  650ns clk = 0 n_rst = 0 up_dwn = 1 count1=0 count2=  0 
 
time =                  655ns clk = 1 n_rst = 0 up_dwn = 1 count1=0 count2=  0 
 
time =                  660ns clk = 0 n_rst = 0 up_dwn = 1 count1=0 count2=  0 
 
time =                  665ns clk = 1 n_rst = 1 up_dwn = 1 count1=1 count2=  1 
 
time =                  670ns clk = 0 n_rst = 1 up_dwn = 1 count1=1 count2=  1 
 
time =                  675ns clk = 1 n_rst = 1 up_dwn = 1 count1=2 count2=  2 
 
time =                  680ns clk = 0 n_rst = 1 up_dwn = 1 count1=2 count2=  2 
 
time =                  685ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  3 
 
time =                  690ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  3 
 
time =                  695ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  4 
 
time =                  700ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  4 
 
time =                  705ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  5 
 
time =                  710ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  5 
 
time =                  715ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  6 
 
time =                  720ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  6 
 
time =                  725ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  7 
 
time =                  730ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  7 
 
time =                  735ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  8 
 
time =                  740ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  8 
 
time =                  745ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  9 
 
